feature,mean_importance
Gender,5.15698469295417e-06
APR Severity of Illness Description,7.281985413792464e-05
Payment Typology 3,8.265360920935716e-05
Abortion Edit Indicator,9.917926285174378e-05
Patient Disposition,0.00017737163030418223
Race,0.0001844522120130393
Payment Typology 1,0.0001955406016835165
Ethnicity,0.00021140568632313367
APR Risk of Mortality,0.0004338788085662751
Payment Typology 2,0.00044966981919075113
APR MDC Code,0.0005449031398417666
CCS Diagnosis Description,0.0006703995939155008
CCS Procedure Description,0.0007864303646073836
Type of Admission,0.001066176520590556
APR DRG Description,0.0010788474878982949
APR Medical Surgical Description,0.0018310387201399907
Birth Weight,0.002177847095831678
APR Severity of Illness Code,0.0023212012743689934
CCS Diagnosis Code,0.002559510901286646
Emergency Department Indicator,0.0026320146668655634
CCS Procedure Code,0.003098476058382424
APR DRG Code,0.0035323533954195936
APR MDC Description,0.005737277401791566
Age Group,0.007352808352215108
sparcs_los,0.010948726672794737
Hospital County,0.01264210500437447
Zip Code - 3 digits,0.020038590621769676
Health Service Area,0.02625764433302119
Facility Id,0.02959315077893244
Operating Certificate Number,0.03696730907073733
Facility Name,0.06752572157248557
Total Costs,1.4020235069307454
