feature,shap_importance
Emergency Department Indicator,0.7461962813265139
Birth Weight,0.2460176913379345
APR Medical Surgical Description,0.11180395032718904
APR MDC Description,0.03544796689443016
CCS Diagnosis Code,0.02187599222935258
Facility Id,0.010652923802062831
Zip Code - 3 digits,0.0096276312202759
APR Severity of Illness Description,0.0
APR Risk of Mortality,0.0
Payment Typology 1,0.0
Health Service Area,0.0
Payment Typology 2,0.0
Payment Typology 3,0.0
Abortion Edit Indicator,0.0
Total Charges,0.0
Total Costs,0.0
APR Severity of Illness Code,0.0
APR DRG Description,0.0
APR MDC Code,0.0
Hospital County,0.0
APR DRG Code,0.0
CCS Procedure Description,0.0
CCS Procedure Code,0.0
CCS Diagnosis Description,0.0
Patient Disposition,0.0
Ethnicity,0.0
Race,0.0
Gender,0.0
Age Group,0.0
Facility Name,0.0
Operating Certificate Number,0.0
sparcs_los,0.0
