feature,mean_importance
APR Risk of Mortality,-0.00013797154031828797
Abortion Edit Indicator,-0.0001029058223537327
sparcs_los,0.00011856722922045093
Gender,0.00013472020883317226
Patient Disposition,0.000576617400965862
APR Severity of Illness Description,0.0007936384113300221
Payment Typology 3,0.0008252678958571124
Payment Typology 1,0.0008576077267555993
APR Severity of Illness Code,0.0009630500833315514
Race,0.0010687499532808398
Ethnicity,0.0013818320766399161
Age Group,0.0019726459783355023
Payment Typology 2,0.00224717275464969
APR MDC Code,0.002259975726068797
Health Service Area,0.003651147937873617
APR DRG Description,0.003857761350513217
APR DRG Code,0.004157970295722424
Total Charges,0.004488917396096914
CCS Diagnosis Description,0.004851388303036575
CCS Procedure Description,0.007474876220495347
Total Costs,0.008219304831763547
CCS Procedure Code,0.009132127893499719
Zip Code - 3 digits,0.009763045713393837
Hospital County,0.021045254411602165
Facility Id,0.03977137472175389
Operating Certificate Number,0.04189817459474538
Facility Name,0.04768870628793782
APR Medical Surgical Description,0.048193217011042705
APR MDC Description,0.05425255492816914
CCS Diagnosis Code,0.10401659985772249
Birth Weight,0.45548609819064617
Emergency Department Indicator,0.7787738963037429
