feature,mean_importance
Patient Disposition,-0.0005348894072179644
Abortion Edit Indicator,0.000102298366995901
Total Charges,0.0001447845666699088
APR Severity of Illness Description,0.0002083876843441246
Payment Typology 2,0.0012610138027858487
Health Service Area,0.001365441369839071
Payment Typology 1,0.0014229285109636613
APR DRG Code,0.0015686802481882812
Payment Typology 3,0.0024656289672966734
APR Risk of Mortality,0.002550259344144834
Ethnicity,0.0028844062748905495
Total Costs,0.0029788076391486394
Facility Id,0.003061187000691834
Race,0.003415751182878568
Gender,0.00356276471690582
sparcs_los,0.003960089108457155
Zip Code - 3 digits,0.004284456084563704
APR MDC Code,0.005790952018433671
CCS Diagnosis Description,0.006181302503941088
APR Severity of Illness Code,0.006350961251253695
CCS Diagnosis Code,0.007228431373442823
CCS Procedure Description,0.008359555063076785
APR DRG Description,0.008677159683673797
Age Group,0.011373141474983917
Hospital County,0.012079254605665668
Facility Name,0.012527752761723188
Operating Certificate Number,0.014963699647505624
CCS Procedure Code,0.018161011338169598
APR Medical Surgical Description,0.05124703040107474
APR MDC Description,0.06554995391189981
Birth Weight,0.2731527276019259
Emergency Department Indicator,1.2454380192060643
