feature,mean_importance
sparcs_los,-1.1102230246251566e-17
Payment Typology 1,-1.1102230246251566e-17
Race,-1.1102230246251566e-17
Abortion Edit Indicator,-1.1102230246251566e-17
Gender,0.0
Ethnicity,0.0
APR Severity of Illness Description,0.0
Total Charges,4.6759655460748565e-06
Payment Typology 3,2.366142966154783e-05
Patient Disposition,3.3260236757060026e-05
APR Risk of Mortality,4.767876724161013e-05
Total Costs,4.944535320901e-05
APR Severity of Illness Code,7.258733590562728e-05
CCS Procedure Description,8.107758138571341e-05
Payment Typology 2,9.738621297115114e-05
APR MDC Code,0.00014739621676931324
Facility Name,0.0001945857699419129
Health Service Area,0.0005219481029646311
APR DRG Code,0.0006431396910639986
Hospital County,0.001025391804799014
Operating Certificate Number,0.001729706405817033
Zip Code - 3 digits,0.0018303987303460278
APR DRG Description,0.0019477409738522522
CCS Procedure Code,0.004689616988007228
Age Group,0.005753467894703645
Facility Id,0.008315991161292502
CCS Diagnosis Description,0.03695480351354796
CCS Diagnosis Code,0.05170444655349741
APR MDC Description,0.05750728502331428
APR Medical Surgical Description,0.05783050137665603
Birth Weight,0.3439036299202302
Emergency Department Indicator,0.9706341243687191
